,gender,tenure,phone_services,internet_services,contract_duration,payment_method,number_customer_service_calls,phone_min,internet_min,phone_monthly_charges,internet_monthly_charges,avg_monthly_bill,churn,trigger_point,churn_surv,uuid,trigger_price,trigger_quality,trigger_external,cluster,treatment,churn_after_treatment,tenure_9_bin,tenure_bin,number_customer_service_calls_bin,phone_min_bin,internet_min_bin,phone_monthly_charges_bin,internet_monthly_charges_bin,avg_monthly_bill_bin,trigger_point_bin,cluster_bin
18,Female,1,0,1,short-term,mail,1,0.0,1120.2028078271887,0.0,9.685738818848597,14.192,0,0.0,0.0,9547e4aa-febf-11ec-ac44-0242ac1c0002,0,0,0,4,,0,0,0,1,0,2000,0,10,10,0,4
19,Male,1,1,1,short-term,mail,0,111.82155897505874,6136.833795345995,19.012153215735943,36.43457979216296,27.085,0,0.0,0.0,9547e838-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,0,115,6000,20,40,25,0,6
20,Female,1,0,1,short-term,mail,0,0.0,1726.9184419541298,0.0,14.210424345189002,18.298,0,0.0,0.0,9547ec84-febf-11ec-ac44-0242ac1c0002,0,0,0,4,upgrade_package,0,0,0,0,0,2000,0,10,25,0,4
21,Female,1,0,1,short-term,mail,0,0.0,1088.8230253666302,0.0,5.744047683448404,12.394,0,0.0,0.0,9547ee5a-febf-11ec-ac44-0242ac1c0002,0,0,0,4,,0,0,0,0,0,2000,0,10,10,0,4
22,Male,1,1,1,short-term,mail,2,115.62558371484666,3791.929614530608,19.658734430721022,26.79178530044412,24.537,0,0.0,0.0,9547efcc-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,115,4000,20,30,25,0,6
23,Male,1,1,1,short-term,email,4,116.48802034248556,1361.9371584291976,19.805854005579786,35.31000802348341,26.942,1,0.0,1.0,9547f5e4-febf-11ec-ac44-0242ac1c0002,0,1,0,6,discount,1,0,0,4,115,2000,20,40,25,0,6
24,Male,1,1,1,short-term,mail,2,116.61372348892816,1605.195740072082,19.826914098511487,23.73348366825937,21.855,1,0.0,1.0,9547fb8e-febf-11ec-ac44-0242ac1c0002,0,1,0,6,free_device,0,0,0,2,115,2000,20,20,25,0,6
25,Female,1,0,1,short-term,email,6,0.0,1589.711815028715,0.0,25.43978973181444,23.035,1,1.0,0.0,9548080e-febf-11ec-ac44-0242ac1c0002,1,0,0,4,upgrade_package,0,0,0,6,0,2000,0,30,25,0,4
26,Female,1,1,1,short-term,mail,1,120.8719368124808,610.2216075823922,20.55148079128792,6.66231524150891,13.488,1,0.0,1.0,954820fa-febf-11ec-ac44-0242ac1c0002,1,0,0,6,free_device,0,0,0,1,115,0,20,10,10,0,6
27,Male,1,1,1,short-term,mail,0,120.1811303473051,3401.8943250431767,20.433511887025443,30.942754015928717,25.996,1,1.0,0.0,95482456-febf-11ec-ac44-0242ac1c0002,0,0,1,6,upgrade_package,1,0,0,0,115,4000,20,30,25,0,6
28,Male,1,1,1,short-term,email,1,118.02463377020844,3483.392009145953,20.067620663955903,21.58929265283789,20.587,1,1.0,0.0,954826a4-febf-11ec-ac44-0242ac1c0002,1,0,0,6,upgrade_package,1,0,0,1,115,4000,20,20,25,0,6
29,Male,1,0,1,short-term,automatic transfer,1,0.0,1915.45572596248,0.0,20.45727208385072,20.348,1,1.0,0.0,95482794-febf-11ec-ac44-0242ac1c0002,1,0,0,4,discount,1,0,0,1,0,2000,0,20,25,0,4
30,Male,1,1,1,short-term,mail,1,121.43240744405772,4292.325436191726,20.646199814756287,29.92518185536985,25.271,1,1.0,0.0,95482b04-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,1,115,4000,20,30,25,0,6
31,Male,1,1,1,short-term,email,2,119.9599062518578,3698.0633821536057,20.39521442731987,27.772982687345305,23.527,1,1.0,0.0,9548304a-febf-11ec-ac44-0242ac1c0002,1,0,0,6,,1,0,0,2,115,4000,20,30,25,0,6
32,Male,1,0,1,short-term,email,3,0.0,2110.4242093667767,0.0,27.60585315128172,25.517,1,1.0,0.0,954831da-febf-11ec-ac44-0242ac1c0002,0,0,1,4,,1,0,0,3,0,2000,0,30,25,0,4
33,Male,1,0,1,short-term,automatic transfer,5,0.0,590.9451122094808,0.0,3.758126011775719,12.237,1,1.0,0.0,95483428-febf-11ec-ac44-0242ac1c0002,0,0,1,4,,1,0,0,5,0,0,0,0,10,0,4
34,Male,1,0,1,short-term,mail,3,0.0,2291.315026837249,0.0,18.582920396729364,18.97,1,1.0,0.0,95483ec8-febf-11ec-ac44-0242ac1c0002,0,0,1,4,,1,0,0,3,0,2000,0,20,25,0,4
35,Female,1,1,1,short-term,automatic transfer,1,118.9992704351155,3071.058687068716,20.232842633201493,37.33853853156485,29.119,1,0.0,1.0,954840e4-febf-11ec-ac44-0242ac1c0002,1,0,0,6,upgrade_package,1,0,0,1,115,4000,20,40,25,0,6
36,Male,1,0,1,short-term,email,1,0.0,2969.13282178815,0.0,19.26834064683248,19.309,1,0.0,1.0,9548415c-febf-11ec-ac44-0242ac1c0002,1,0,0,4,discount,0,0,0,1,0,2000,0,20,25,0,4
37,Male,1,1,1,short-term,automatic transfer,3,111.6947233065621,2947.705517984081,18.99033915511273,35.71517476222382,27.18,1,1.0,0.0,954842c4-febf-11ec-ac44-0242ac1c0002,0,0,1,6,upgrade_package,1,0,0,3,115,2000,20,40,25,0,6
38,Male,1,0,1,short-term,mail,1,0.0,1982.3049355719568,0.0,14.303476421863357,17.391,1,1.0,0.0,9548442c-febf-11ec-ac44-0242ac1c0002,0,0,1,4,,1,0,0,1,0,2000,0,10,10,0,4
39,Male,1,0,1,short-term,mail,1,0.0,1109.6493425893618,0.0,11.13361263447742,17.248,1,1.0,0.0,95484594-febf-11ec-ac44-0242ac1c0002,0,0,1,4,discount,1,0,0,1,0,2000,0,10,10,0,4
40,Male,1,0,1,short-term,automatic transfer,4,0.0,820.5548742785181,0.0,25.195515568824245,24.026,1,1.0,0.0,9548460c-febf-11ec-ac44-0242ac1c0002,0,1,0,4,discount,1,0,0,4,0,0,0,30,25,0,4
41,Male,1,0,1,short-term,mail,2,0.0,2376.9702083182133,0.0,32.78896272566848,27.076,1,1.0,0.0,9548467a-febf-11ec-ac44-0242ac1c0002,0,0,1,4,upgrade_package,1,0,0,2,0,2000,0,30,25,0,4
42,Female,1,0,1,short-term,mail,1,0.0,1349.6287795841909,0.0,9.538605355570944,15.031,1,1.0,0.0,954848e6-febf-11ec-ac44-0242ac1c0002,0,0,1,4,discount,1,0,0,1,0,2000,0,10,10,0,4
43,Female,1,1,1,short-term,email,1,108.5386812143215,2082.410405687343,18.453849728076914,35.73340933929948,26.706,1,1.0,0.0,95484972-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,1,115,2000,20,40,25,0,6
44,Male,1,1,1,short-term,email,0,113.10494800256244,2858.046394089225,19.23062474930562,39.688808937156615,29.648,1,0.0,1.0,95484a94-febf-11ec-ac44-0242ac1c0002,0,1,0,6,,1,0,0,0,115,2000,20,40,25,0,6
45,Male,1,0,1,short-term,email,1,0.0,909.9080006522208,0.0,16.820039025076156,18.14,1,1.0,0.0,95484ce2-febf-11ec-ac44-0242ac1c0002,0,0,1,4,,1,0,0,1,0,0,0,20,25,0,4
46,Female,1,1,1,short-term,automatic transfer,2,123.82749817970074,303.7042181151239,21.053854139975083,11.39798649802688,16.783,1,1.0,0.0,95484ec2-febf-11ec-ac44-0242ac1c0002,0,0,1,6,discount,1,0,0,2,115,0,20,10,10,0,6
47,Female,1,1,1,short-term,automatic transfer,2,116.69499384212358,2342.3986000584914,19.84037654163357,16.954508731773757,18.385,1,0.0,1.0,95484fbc-febf-11ec-ac44-0242ac1c0002,0,1,0,6,upgrade_package,1,0,0,2,115,2000,20,20,25,0,6
48,Female,1,0,1,short-term,mail,2,0.0,284.0995790848488,0.0,5.511744468828894,12.763,1,1.0,0.0,95485052-febf-11ec-ac44-0242ac1c0002,0,0,1,4,,1,0,0,2,0,0,0,10,10,0,4
49,Male,1,1,1,short-term,email,1,121.180750514431,852.2098293209883,20.60369203199316,21.70800612729903,21.653,1,0.0,1.0,954851ba-febf-11ec-ac44-0242ac1c0002,0,1,0,6,upgrade_package,0,0,0,1,115,0,20,20,25,0,6
50,Male,1,1,1,short-term,email,2,125.05987761000588,3919.4557089743575,21.262824534320966,40.57308424519866,30.79,1,1.0,0.0,95485764-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,2,135,4000,20,40,25,0,6
51,Male,1,1,1,short-term,mail,1,124.3238102911609,2561.6943636401834,21.137854802411656,13.477216096892793,17.843,1,0.0,1.0,9548587c-febf-11ec-ac44-0242ac1c0002,0,1,0,6,,1,0,0,1,115,2000,20,10,25,0,6
52,Male,1,1,1,short-term,email,1,126.0569344024976,3469.3755557180675,21.432983602605,36.876085643877154,28.75,1,1.0,0.0,954859e4-febf-11ec-ac44-0242ac1c0002,0,0,1,6,discount,1,0,0,1,135,4000,20,40,25,0,6
53,Female,1,1,1,short-term,email,0,119.61651055989962,2262.19979245328,20.33716057548744,16.867432393285867,18.998,1,0.0,1.0,95485a5c-febf-11ec-ac44-0242ac1c0002,0,1,0,6,free_device,1,0,0,0,115,2000,20,20,25,0,6
54,Female,1,0,1,short-term,email,3,0.0,1501.6801621080924,0.0,21.597387175587933,19.986,1,0.0,1.0,95485ad4-febf-11ec-ac44-0242ac1c0002,1,1,0,4,upgrade_package,0,0,0,3,0,2000,0,20,25,0,4
55,Female,1,1,1,short-term,email,5,125.14946852530043,2892.896932669602,21.277674642315866,24.110438342973595,21.701,1,1.0,0.0,95485b42-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,5,135,2000,20,20,25,0,6
56,Female,1,1,1,short-term,mail,2,118.03800561131632,587.1336007584464,20.06919690697146,27.86383364246604,23.202,1,1.0,0.0,95485da4-febf-11ec-ac44-0242ac1c0002,1,0,0,6,upgrade_package,0,0,0,2,115,0,20,30,25,0,6
57,Male,1,0,1,short-term,automatic transfer,1,0.0,1048.5453107662229,0.0,14.38233894148894,16.772,1,1.0,0.0,9548615a-febf-11ec-ac44-0242ac1c0002,0,0,1,4,,1,0,0,1,0,2000,0,10,10,0,4
58,Female,1,1,1,short-term,mail,2,121.78034715195628,6757.218470111527,20.70569108927125,49.07329570550829,34.973,0,0.0,0.0,954868ee-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,115,6000,20,50,25,0,6
59,Female,1,1,1,short-term,mail,2,113.83391544554912,6596.945385899565,19.3545592594817,53.66652711473204,37.416,0,0.0,0.0,954869e8-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,115,6000,20,50,25,0,6
60,Female,1,1,1,short-term,email,3,124.03547159931624,7434.727096788026,21.08824968065718,54.21487829945405,37.199,0,0.0,0.0,95487046-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,3,115,8000,20,50,25,0,6
61,Female,1,1,1,short-term,email,2,125.57360752983304,6058.799399487241,21.35142433037073,52.24217409204626,36.339,0,0.0,0.0,954871a4-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,135,6000,20,50,25,0,6
62,Female,1,1,1,short-term,email,1,116.21409574780913,7241.943225278806,19.760577000063787,63.79741613931908,41.603,0,0.0,0.0,95487294-febf-11ec-ac44-0242ac1c0002,0,0,0,6,free_device,0,0,0,1,115,8000,20,60,50,0,6
63,Female,1,1,1,short-term,mail,3,125.50075188303452,7756.832569639941,21.3373494016498,50.1867229199769,35.552,0,0.0,0.0,9548767c-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,3,135,8000,20,50,25,0,6
64,Male,1,1,1,short-term,mail,3,119.86113077806723,8019.657355101573,20.37975726064249,60.80617684107342,39.249,0,0.0,0.0,954878fc-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,3,115,8000,20,60,50,0,6
65,Female,1,1,1,short-term,email,2,114.7643471995476,9046.48612887991,19.512545742774616,67.052797469641,42.823,0,0.0,0.0,95487ae6-febf-11ec-ac44-0242ac1c0002,0,0,0,7,upgrade_package,0,0,0,2,115,10000,20,70,50,0,7
66,Female,1,1,1,short-term,email,2,120.4223336767882,5653.795319482206,20.474166282578377,49.06817994182,35.007,0,0.0,0.0,95487b5e-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,115,6000,20,50,25,0,6
67,Female,1,1,1,short-term,email,2,116.85936420615393,7165.577469447737,19.86838295387415,53.77780896376763,37.263,0,0.0,0.0,95487c44-febf-11ec-ac44-0242ac1c0002,0,0,0,6,,0,0,0,2,115,8000,20,50,25,0,6
68,Female,1,1,1,short-term,email,1,121.54472861009248,7113.725165371641,20.665311800777165,72.4977198306882,48.845,1,1.0,0.0,95487d34-febf-11ec-ac44-0242ac1c0002,1,0,0,7,discount,0,0,0,1,115,8000,20,70,50,0,7
69,Male,1,1,1,short-term,email,2,123.65767656080706,3494.591272728482,21.02412110203361,46.75693337759933,34.357,1,0.0,1.0,9548818a-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,2,115,4000,20,50,25,0,6
70,Female,1,1,1,short-term,email,2,114.9022518062302,8517.408046396826,19.53608529058768,77.09821895283108,48.545,1,0.0,1.0,95488360-febf-11ec-ac44-0242ac1c0002,1,1,0,7,discount,0,0,0,2,115,8000,20,80,50,0,7
71,Male,1,1,1,short-term,email,0,122.87607114417555,7750.761027455765,20.892131011139007,56.81010323875908,38.46,1,1.0,0.0,954885ae-febf-11ec-ac44-0242ac1c0002,1,0,0,6,,1,0,0,0,115,8000,20,60,50,0,6
72,Male,1,1,1,short-term,automatic transfer,0,123.12480365342832,8209.27979628884,20.93390907354896,66.82129259647431,43.9,1,1.0,0.0,954886c6-febf-11ec-ac44-0242ac1c0002,0,1,0,2,,1,0,0,0,115,8000,20,70,50,0,2
73,Male,1,1,1,short-term,email,1,124.7997802126504,7623.576548861646,21.218836940120404,65.61858377546783,43.778,1,1.0,0.0,95488a18-febf-11ec-ac44-0242ac1c0002,1,0,0,2,upgrade_package,1,0,0,1,115,8000,20,70,50,0,2
74,Male,1,1,1,short-term,email,0,111.77033600254876,4473.5264622802815,19.003592199801467,50.06108734990174,34.867,1,1.0,0.0,95488b76-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,0,115,4000,20,50,25,0,6
75,Male,1,1,1,short-term,email,1,126.42123669453498,4809.587491424017,21.49467636515182,51.3549994807937,39.723,1,0.0,1.0,95488f2c-febf-11ec-ac44-0242ac1c0002,1,1,0,6,upgrade_package,1,0,0,1,135,4000,20,50,50,0,6
76,Female,1,1,1,short-term,email,3,108.04288602402964,4414.635289563531,18.36961843467364,51.40550188717776,35.261,1,0.0,1.0,95489044-febf-11ec-ac44-0242ac1c0002,0,1,0,6,discount,1,0,0,3,115,4000,20,50,25,0,6
77,Male,1,1,1,short-term,email,2,125.93417501031271,5992.687412555004,21.411815596375277,54.93948808041223,36.919,1,0.0,1.0,954891a2-febf-11ec-ac44-0242ac1c0002,1,1,0,6,,1,0,0,2,135,6000,20,50,25,0,6
78,Male,1,1,1,short-term,mail,2,109.75580794363285,6061.917744366779,18.66133830523445,47.97886714083222,34.691,1,0.0,1.0,95489b20-febf-11ec-ac44-0242ac1c0002,1,0,0,6,,1,0,0,2,115,6000,20,50,25,0,6
79,Female,1,1,1,short-term,email,1,111.10868955364002,5394.79901230128,18.890676717150875,56.45548792761975,38.444,1,1.0,0.0,95489c7e-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,1,115,6000,20,60,50,0,6
80,Male,1,1,1,short-term,email,0,118.306934247557,3679.421750334959,20.11423727640697,48.98147243830349,35.089,1,0.0,1.0,95489e72-febf-11ec-ac44-0242ac1c0002,1,0,0,6,free_device,1,0,0,0,115,4000,20,50,25,0,6
81,Female,1,1,1,short-term,email,2,126.458995485668,5715.098603843432,21.5003843890217,48.04658490445159,35.246,1,1.0,0.0,95489f62-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,2,135,6000,20,50,25,0,6
82,Female,1,1,1,short-term,email,2,117.83461398165456,5152.682649006013,20.03447352139614,59.2988388317619,39.375,1,0.0,1.0,9548a070-febf-11ec-ac44-0242ac1c0002,0,1,0,6,upgrade_package,1,0,0,2,115,6000,20,60,50,0,6
83,Male,1,1,1,short-term,email,5,114.00452349287126,4013.855395513028,19.38310202552543,51.78195763595824,38.048,1,0.0,1.0,9548a0e8-febf-11ec-ac44-0242ac1c0002,0,1,0,6,upgrade_package,1,0,0,5,115,4000,20,50,50,0,6
84,Male,1,1,1,short-term,email,3,119.65600491807996,5247.257268903399,20.34420127688698,54.70826506362703,38.706,1,0.0,1.0,9548a340-febf-11ec-ac44-0242ac1c0002,1,1,0,6,upgrade_package,1,0,0,3,115,6000,20,50,50,0,6
85,Male,1,1,1,short-term,automatic transfer,4,116.9405731955311,5465.568438909341,19.882250156019538,50.14925117174322,36.39,1,1.0,0.0,9548a606-febf-11ec-ac44-0242ac1c0002,1,0,0,6,discount,1,0,0,4,115,6000,20,50,25,0,6
86,Female,1,1,1,short-term,email,3,118.06254755858237,8265.433017160709,20.07343551732369,79.418501237364,48.537,1,1.0,0.0,9548a8fe-febf-11ec-ac44-0242ac1c0002,0,0,1,7,discount,1,0,0,3,115,8000,20,80,50,0,7
87,Female,1,1,1,short-term,email,2,118.861150036371,4502.610048490866,20.209100142839432,47.83458290293803,35.578,1,0.0,1.0,9548aad4-febf-11ec-ac44-0242ac1c0002,0,1,0,6,,1,0,0,2,115,4000,20,50,25,0,6
88,Female,1,1,1,short-term,email,1,123.85309644478988,6312.034110842729,21.05791006681687,59.56702680192899,40.954,1,0.0,1.0,9548ad22-febf-11ec-ac44-0242ac1c0002,0,1,0,6,free_device,1,0,0,1,115,6000,20,60,50,0,6
89,Female,1,1,1,short-term,automatic transfer,1,117.90446585288808,5907.386296875673,20.04640424876933,56.77839556529682,38.126,1,0.0,1.0,9548ae12-febf-11ec-ac44-0242ac1c0002,0,1,0,6,,1,0,0,1,115,6000,20,60,50,0,6
90,Male,1,1,1,short-term,email,4,115.93536474384918,4983.158019864639,19.711674564345763,51.306449455484895,35.985,1,0.0,1.0,9548ae8a-febf-11ec-ac44-0242ac1c0002,1,1,0,6,upgrade_package,1,0,0,4,115,4000,20,50,25,0,6
91,Female,1,1,1,short-term,mail,0,114.28816204862248,6687.162323760729,19.43116509153353,62.22500804205367,40.577,1,0.0,1.0,9548af84-febf-11ec-ac44-0242ac1c0002,1,1,0,6,upgrade_package,1,0,0,0,115,6000,20,60,50,0,6
92,Female,1,1,1,short-term,email,1,126.50054232454166,4733.5985165513775,21.50808962306457,52.95753920310129,37.03,1,1.0,0.0,9548b150-febf-11ec-ac44-0242ac1c0002,0,1,0,6,upgrade_package,1,0,0,1,135,4000,20,50,25,0,6
93,Female,1,1,1,short-term,email,1,121.56021981474537,5070.896390107517,20.6673595606023,58.60028764638831,43.623,1,0.0,1.0,9548b420-febf-11ec-ac44-0242ac1c0002,1,0,0,6,,1,0,0,1,115,6000,20,60,50,0,6
94,Male,1,1,1,short-term,email,1,115.47812907934906,4100.043288429672,19.63366588605311,60.27226438177391,39.403,1,0.0,1.0,9548b498-febf-11ec-ac44-0242ac1c0002,1,0,0,6,upgrade_package,0,0,0,1,115,4000,20,60,50,0,6
95,Female,1,1,1,short-term,email,3,114.327152344193,5535.439032477174,19.438236335747032,50.83830343845143,37.665,1,1.0,0.0,9548b6f0-febf-11ec-ac44-0242ac1c0002,0,0,1,6,free_device,1,0,0,3,115,6000,20,50,50,0,6
96,Female,1,1,1,short-term,email,5,115.18270371727516,4010.1425604463534,19.58333770274988,49.3476203510053,34.898,1,0.0,1.0,9548b966-febf-11ec-ac44-0242ac1c0002,0,1,0,6,free_device,1,0,0,5,115,4000,20,50,25,0,6
97,Male,1,1,1,short-term,email,4,122.91256001376568,5656.386828369386,20.897588700491585,62.20427086474524,41.86,1,0.0,1.0,9548bace-febf-11ec-ac44-0242ac1c0002,1,1,0,6,upgrade_package,1,0,0,4,115,6000,20,60,50,0,6
98,Female,1,1,1,short-term,mail,3,118.58809159808204,6747.56822382003,20.1622985271444,54.01726654251302,36.588,1,1.0,0.0,9548bb46-febf-11ec-ac44-0242ac1c0002,0,0,1,6,free_device,1,0,0,3,115,6000,20,50,25,0,6
99,Female,1,1,1,short-term,email,2,116.0734473998794,6042.131860763405,19.735799068269973,56.76065439824071,37.143,1,1.0,0.0,9548bd1c-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,2,115,6000,20,60,25,0,6
100,Male,1,1,1,short-term,email,4,117.03045717536354,6221.82868604816,19.897924762250653,59.24242364467288,39.352,1,1.0,0.0,9548bfe2-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,4,115,6000,20,60,50,0,6
101,Female,1,1,1,short-term,email,3,125.42688524861778,4987.5066683344585,21.325097089230532,57.85656320533716,40.418,1,0.0,1.0,9548c5aa-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,3,135,4000,20,60,50,0,6
102,Male,1,1,1,short-term,email,4,120.3104936287095,7086.586311032105,20.45544055814979,57.5490045837287,41.247,1,0.0,1.0,9548ce24-febf-11ec-ac44-0242ac1c0002,0,1,0,6,,1,0,0,4,115,8000,20,60,50,0,6
103,Male,1,1,1,short-term,email,1,118.7241994648609,4917.479038126265,20.185504534141803,54.57607960681516,38.415,1,0.0,1.0,9548ce92-febf-11ec-ac44-0242ac1c0002,1,0,0,6,upgrade_package,0,0,0,1,115,4000,20,50,50,0,6
104,Female,1,1,1,short-term,email,2,113.44060211268942,6299.777944581564,19.28700475090606,65.13402321506383,39.79,1,0.0,1.0,9548cf0a-febf-11ec-ac44-0242ac1c0002,1,0,0,6,discount,0,0,0,2,115,6000,20,70,50,0,6
105,Female,1,1,1,short-term,email,1,116.9061426098038,6955.96565824907,19.876466638617256,60.68757798166428,40.552,1,1.0,0.0,9548cf82-febf-11ec-ac44-0242ac1c0002,1,0,0,6,discount,1,0,0,1,115,6000,20,60,50,0,6
106,Male,1,1,1,short-term,email,2,118.2721746241358,6238.054825463132,20.108368216919114,73.50775706797663,46.372,1,1.0,0.0,9548d7ca-febf-11ec-ac44-0242ac1c0002,1,0,0,2,discount,0,0,0,2,115,6000,20,70,50,0,2
107,Male,1,1,1,short-term,mail,4,113.5544506058428,5474.745568413774,19.30669069058232,62.40757938878491,40.543,1,1.0,0.0,9548d84c-febf-11ec-ac44-0242ac1c0002,0,0,1,6,,1,0,0,4,115,6000,20,60,50,0,6
108,Male,1,1,1,short-term,email,2,121.85633239412674,4290.221767622695,20.71787178843218,56.65829778004677,39.417,1,0.0,1.0,9548da22-febf-11ec-ac44-0242ac1c0002,0,1,0,6,free_device,1,0,0,2,115,4000,20,60,50,0,6
